id,veh_value,exposure,veh_body,veh_age,gender,area,dr_age,claim_ind,claim_count,claim_cost
304,0.44,0.916285608,SEDAN,4,M,A,5,0,0,0
308,3.72,0.999323459,STNWG,3,M,A,5,0,0,0
311,0.45,0.167298005,HBACK,4,M,A,6,0,0,0
312,0.89,0.606302186,STNWG,4,M,A,2,0,0,0
313,2.14,0.597320389,HBACK,2,F,A,3,0,0,0
315,7.89,0.366302945,STNWG,1,M,A,3,0,0,0
317,1.7,0.8389796,SEDAN,3,F,A,4,0,0,0
318,0.45,0.91679812,SEDAN,4,F,A,3,0,0,0
319,2.16,0.059430855,STNWG,3,F,A,4,0,0,0
320,1.68,0.661395764,HBACK,1,F,A,5,0,0,0
321,2.78,0.664589107,PANVN,1,M,A,3,0,0,0
322,1.49,0.99387737,STNWG,4,F,A,3,0,0,0
327,3.5,0.281388339,HBACK,2,F,A,1,0,0,0
330,1.19,0.69702554,HBACK,3,F,A,6,0,0,0
333,0.32,0.220056618,HBACK,4,F,A,2,0,0,0
334,1.49,0.182921198,HBACK,2,F,A,6,0,0,0
337,0.43,0.624161784,COUPE,4,F,A,3,0,0,0
344,0.77,0.700671134,SEDAN,4,F,A,2,0,0,0
347,8.28,0.548729378,STNWG,1,F,A,3,0,0,0
351,1.35,0.919457686,HBACK,1,F,A,3,0,0,0
357,1.46,0.193929347,TRUCK,3,M,A,2,0,0,0
362,1.27,0.627696789,SEDAN,3,F,A,2,0,0,0
363,1.58,0.403633149,SEDAN,2,F,A,1,0,0,0
365,4.58,0.277890631,UTE,1,M,A,1,0,0,0
373,5.84,0.576436949,STNWG,1,F,A,3,0,0,0
376,0.66,0.173479035,SEDAN,4,M,A,4,0,0,0
377,0.9,0.654713786,HBACK,3,M,A,5,0,0,0
379,1.77,0.926843225,UTE,4,F,A,2,0,0,0
381,1.61,0.032923493,PANVN,3,M,A,4,0,0,0
386,2.34,0.691262489,SEDAN,2,M,A,2,0,0,0
387,2.1,0.915960394,PANVN,1,M,A,3,0,0,0
390,1.43,0.200824228,HBACK,3,M,A,3,0,0,0
394,1.83,0.338306178,HDTOP,3,F,A,2,0,0,0
395,1.17,0.787066559,COUPE,4,M,A,3,0,0,0
396,0.79,0.603591769,SEDAN,4,M,A,2,0,0,0
398,1.91,0.396948997,SEDAN,2,M,A,4,0,0,0
399,1.04,0.34110257,SEDAN,4,F,A,2,0,0,0
400,1.6,0.626135528,HBACK,3,F,A,6,0,0,0
401,1.35,0.501347309,HBACK,2,M,A,4,0,0,0
403,3.98,0.084644992,STNWG,2,M,A,5,0,0,0
404,1.46,0.102192907,SEDAN,3,F,A,6,0,0,0
405,1.5,0.02888356,SEDAN,2,F,A,4,0,0,0
406,5.4,0.999330049,STNWG,1,M,A,2,0,0,0
411,2.69,0.314179163,STNWG,3,F,A,5,0,0,0
412,1.02,0.954157271,SEDAN,4,F,A,2,0,0,0
416,1.61,0.011135994,HBACK,3,F,A,4,0,0,0
424,1.73,0.661432604,SEDAN,3,F,A,5,0,0,0
425,1.72,0.01874049,STNWG,3,F,A,4,0,0,0
426,1.55,0.657416873,HBACK,1,F,A,6,0,0,0
430,2.19,0.974800092,SEDAN,2,F,A,4,0,0,0
434,0.87,0.031098804,SEDAN,4,F,A,3,0,0,0
436,1.25,0.811364263,STNWG,3,F,A,2,0,0,0
440,0.83,0.935651747,SEDAN,4,F,A,3,0,0,0
442,0.97,0.364717426,STNWG,4,F,A,3,0,0,0
444,1.52,0.221472081,HBACK,1,F,A,1,0,0,0
445,1.27,0.999335102,HBACK,3,M,A,4,0,0,0
450,0.86,0.685296617,TRUCK,4,M,A,6,0,0,0
455,1.06,0.282686041,HBACK,2,F,A,4,0,0,0
456,1.71,0.274928166,HBACK,3,F,A,3,0,0,0
457,5.92,0.247696543,STNWG,1,F,A,3,0,0,0
460,2.21,0.283713121,SEDAN,1,F,A,4,0,0,0
461,1.58,0.917483777,STNWG,4,M,A,5,0,0,0
464,3.49,0.300272548,STNWG,2,M,A,3,0,0,0
468,1.08,0.432797032,UTE,4,M,A,3,0,0,0
471,0.89,0.999324415,SEDAN,4,M,A,6,0,0,0
476,0.8,0.993882872,SEDAN,4,F,A,5,0,0,0
477,0.83,0.980476899,HBACK,4,F,A,4,0,0,0
484,1.71,0.02339708,SEDAN,2,F,A,3,0,0,0
489,0.96,0.219591697,HBACK,3,M,A,2,0,0,0
492,0.84,0.032050696,SEDAN,4,M,A,6,0,0,0
493,1.06,0.894149179,SEDAN,3,F,A,3,0,0,0
494,0.47,0.779306806,SEDAN,4,F,A,4,0,0,0
500,1.7,0.711431028,HBACK,2,F,A,3,0,0,0
505,4.88,0.956199769,STNWG,2,F,A,3,0,0,0
508,1.26,0.285685397,SEDAN,3,F,A,3,0,0,0
509,2.43,0.049476985,STNWG,3,M,A,4,0,0,0
515,4.24,0.961896607,STNWG,1,M,A,4,0,0,0
517,2.63,0.271422891,HBACK,1,F,A,2,0,0,0
518,0.85,0.017738527,SEDAN,4,M,A,2,0,0,0
520,2.29,0.96475646,HBACK,1,F,A,6,0,0,0
521,0.37,0.821128357,HBACK,4,F,A,6,0,0,0
524,0.73,0.267453751,COUPE,4,M,A,5,0,0,0
531,3.9,0.65618424,SEDAN,1,F,A,5,0,0,0
535,1.46,0.999321738,SEDAN,3,M,A,5,0,0,0
536,2.25,0.410292074,SEDAN,2,F,A,4,0,0,0
537,1.62,0.365664171,SEDAN,3,M,A,6,0,0,0
547,3.16,0.575133886,STNWG,2,F,A,3,0,0,0
549,0.94,0.887579053,HBACK,3,F,A,4,0,0,0
551,0.77,0.183348294,HBACK,3,F,A,3,0,0,0
552,1.57,0.02118467,HDTOP,3,F,A,5,0,0,0
557,2.65,0.57333497,SEDAN,1,M,A,5,0,0,0
562,1.21,0.406573201,SEDAN,3,F,A,4,0,0,0
566,0.77,0.222673263,HBACK,3,F,A,5,0,0,0
571,1.87,0.846930667,HBACK,2,F,A,2,0,0,0
583,0.5,0.633537353,SEDAN,4,M,A,3,0,0,0
586,1.67,0.341043173,SEDAN,2,M,A,4,0,0,0
587,1.64,0.347104058,TRUCK,1,M,A,5,0,0,0
589,1.33,0.924922312,HBACK,2,F,A,4,0,0,0
590,5.44,0.928925015,STNWG,2,F,A,3,0,0,0
592,2.56,0.6797372,UTE,3,M,A,5,0,0,0
605,1.34,0.741696008,UTE,4,M,A,2,0,0,0
606,6.2,0.277662269,SEDAN,2,M,A,4,0,0,0
608,0.94,0.535577388,HBACK,3,F,A,2,0,0,0
609,2.9,0.303829911,STNWG,1,M,A,5,0,0,0
616,1.38,0.177942936,COUPE,3,F,A,5,0,0,0
617,0.9,0.689238094,SEDAN,3,F,A,3,0,0,0
623,1.34,0.575254147,HBACK,2,M,A,4,0,0,0
627,2.2,0.642360523,HBACK,1,M,A,4,0,0,0
628,3.32,0.052095679,STNWG,2,F,A,4,0,0,0
629,1.21,0.245663399,SEDAN,3,F,A,2,0,0,0
631,4.59,0.731797344,STNWG,1,M,A,6,0,0,0
632,1.72,0.61459678,STNWG,3,F,A,1,0,0,0
635,1.65,0.372962057,HBACK,1,F,A,3,0,0,0
637,1.38,0.9966224,HBACK,2,M,A,2,0,0,0
638,1.52,0.592641746,HBACK,1,M,A,2,0,0,0
645,0.42,0.238360985,COUPE,4,F,A,1,0,0,0
647,2.01,0.580401672,STNWG,2,F,A,5,0,0,0
650,1.54,0.959251375,SEDAN,3,M,A,3,0,0,0
652,1.98,0.78140209,HBACK,2,F,A,2,0,0,0
663,1.22,0.362618352,STNWG,3,F,A,3,0,0,0
665,2.23,0.617271866,HBACK,2,F,A,1,0,0,0
666,3.41,0.20256973,STNWG,1,M,A,3,0,0,0
670,1.08,0.217625415,SEDAN,3,F,A,3,0,0,0
671,1.36,0.080065314,HBACK,2,F,A,2,0,0,0
673,1.44,0.274350055,HBACK,1,F,A,1,0,0,0
674,2.3,0.724535062,SEDAN,1,F,A,3,0,0,0
676,6.01,0.284589735,STNWG,1,M,A,1,0,0,0
677,1.54,0.028598259,HBACK,2,F,A,3,0,0,0
679,1.61,0.356669254,HBACK,1,F,A,5,0,0,0
681,0.76,0.121404055,HBACK,3,M,A,2,0,0,0
689,1.95,0.394633961,HBACK,2,F,A,3,0,0,0
693,0.31,0.700619539,SEDAN,4,F,A,6,0,0,0
699,2.65,0.444511754,SEDAN,1,M,A,3,0,0,0
704,1.06,0.952776694,HBACK,2,F,A,6,0,0,0
705,1.67,0.70694279,SEDAN,3,M,A,3,0,0,0
709,1.23,0.701070088,SEDAN,3,F,A,4,0,0,0
712,0.36,0.270422139,COUPE,4,F,A,4,0,0,0
714,3.22,0.667505037,STNWG,1,F,A,2,0,0,0
716,1.33,0.375565362,MIBUS,4,F,A,3,0,0,0
719,0.48,0.186975292,HBACK,4,M,A,4,0,0,0
721,3,0.999317192,STNWG,1,F,A,3,0,0,0
724,1.63,0.195171735,SEDAN,2,M,A,3,0,0,0
725,1.37,0.986075123,HBACK,2,F,A,3,0,0,0
726,1.61,0.402978443,SEDAN,2,M,A,3,0,0,0
729,2.04,0.775473925,STNWG,2,M,A,3,0,0,0
732,2.18,0.121997633,SEDAN,1,F,A,2,0,0,0
733,1.3,0.326068512,HBACK,1,F,A,5,0,0,0
734,2.31,0.136287403,HBACK,1,F,A,4,0,0,0
736,1.22,0.588125092,HBACK,2,M,A,5,0,0,0
738,1.46,0.667116973,SEDAN,3,M,A,5,0,0,0
744,0.58,0.059389453,HBACK,4,F,A,4,0,0,0
745,1.36,0.086683589,UTE,4,M,A,5,0,0,0
747,1.39,0.789729398,HDTOP,4,M,A,4,0,0,0
749,1.35,0.761917498,HBACK,2,M,A,3,0,0,0
753,2,0.996595401,STNWG,2,F,A,5,0,0,0
756,2.52,0.943043572,STNWG,3,F,A,5,0,0,0
757,6.2,0.922821261,SEDAN,2,F,A,2,0,0,0
759,1.03,0.072789337,HBACK,3,F,A,3,0,0,0
763,1.84,0.643338448,SEDAN,2,F,A,4,0,0,0
764,2.86,0.580011809,SEDAN,1,F,A,3,0,0,0
765,0.46,0.22628677,SEDAN,4,M,A,6,0,0,0
771,1.59,0.066069544,HDTOP,4,M,A,2,0,0,0
773,2.59,0.231266228,STNWG,3,M,A,4,0,0,0
776,1.24,0.581140536,HBACK,2,F,A,3,0,0,0
779,1.27,0.045532935,HBACK,1,F,A,4,0,0,0
780,2.71,0.44148318,STNWG,3,F,A,2,0,0,0
783,0.63,0.725702526,PANVN,4,F,A,3,0,0,0
787,2.06,0.353658027,MIBUS,3,M,A,4,0,0,0
789,1,0.093138763,HBACK,3,M,A,6,0,0,0
792,1.4,0.937274639,HBACK,1,M,A,3,0,0,0
793,1.51,0.454568571,UTE,2,F,A,2,0,0,0
794,0.89,0.971946311,SEDAN,4,F,A,4,0,0,0
796,1.66,0.640088783,HBACK,3,F,A,3,0,0,0
798,1,0.575629045,HBACK,3,F,A,5,0,0,0
800,3.44,0.782797917,STNWG,3,F,A,3,0,0,0
805,1.44,0.872213136,SEDAN,2,F,A,1,0,0,0
812,2.15,0.634560352,SEDAN,2,M,A,4,0,0,0
815,1.69,0.040632202,PANVN,2,M,A,1,0,0,0
816,1.22,0.362064976,SEDAN,3,F,A,3,0,0,0
817,3.61,0.047831392,STNWG,3,F,A,2,0,0,0
819,1.71,0.062886203,HBACK,2,M,A,6,0,0,0
820,2.1,0.731725195,HBACK,1,F,A,3,0,0,0
821,1.6,0.791163205,HBACK,1,F,A,3,0,0,0
827,3.03,0.256349259,STNWG,2,F,A,6,0,0,0
828,1.11,0.602489118,HBACK,4,F,A,3,0,0,0
829,1.07,0.877306403,HBACK,2,F,A,1,0,0,0
830,1.96,0.655731405,SEDAN,2,F,A,4,0,0,0
831,0.38,0.214291946,HBACK,4,M,A,3,0,0,0
837,0.67,0.560918557,SEDAN,4,M,A,2,0,0,0
838,1.51,0.35872308,STNWG,4,M,A,5,0,0,0
840,1.7,0.04024017,UTE,2,M,A,2,0,0,0
844,0.98,0.695751889,SEDAN,3,M,A,5,0,0,0
846,1.44,0.766670494,HBACK,3,F,A,3,0,0,0
849,3.04,0.568422405,SEDAN,1,F,A,4,0,0,0
851,1.74,0.315768423,SEDAN,3,M,A,2,0,0,0
854,3.16,0.726177443,STNWG,3,F,A,4,0,0,0
862,1.2,0.713998082,SEDAN,3,M,A,3,0,0,0
864,1.1,0.69382823,HBACK,2,F,A,5,0,0,0
865,3.24,0.069456935,STNWG,1,M,A,6,0,0,0
871,2.65,0.677605748,SEDAN,2,M,A,4,0,0,0
873,1.59,0.192859364,HBACK,1,F,A,2,0,0,0
875,2.45,0.954294538,SEDAN,2,F,A,5,0,0,0
878,1.89,0.716508364,STNWG,3,M,A,3,0,0,0
880,4.18,0.336674668,STNWG,2,M,A,3,0,0,0
881,0.88,0.536319744,HBACK,3,F,A,3,0,0,0
887,1.88,0.242536969,UTE,3,M,A,2,0,0,0
888,0.39,0.99932075,HBACK,4,F,A,4,0,0,0
894,1.33,0.248442516,SEDAN,3,F,A,5,0,0,0
898,0.93,0.462399115,HBACK,3,F,A,2,0,0,0
899,0.76,0.542715841,STNWG,4,M,A,5,0,0,0
900,1.85,0.800758195,HBACK,3,F,A,4,0,0,0
903,0.93,0.254160128,SEDAN,3,F,A,4,0,0,0
904,2.13,0.521200666,SEDAN,2,F,A,2,0,0,0
912,3.26,0.865556362,STNWG,2,F,A,2,0,0,0
916,1.19,0.291741728,SEDAN,3,M,A,3,0,0,0
918,2.62,0.972834853,HDTOP,1,M,A,3,0,0,0
922,1.56,0.705780265,HBACK,2,M,A,4,0,0,0
925,0.5,0.066462298,SEDAN,4,F,A,3,0,0,0
930,0.92,0.991107216,HBACK,3,F,A,3,0,0,0
932,1.54,0.253092859,HBACK,2,M,A,2,0,0,0
939,3.99,0.909137215,UTE,1,M,A,1,0,0,0
942,1.48,0.972229477,HBACK,3,F,A,3,0,0,0
951,4.59,0.678268225,SEDAN,4,M,A,3,0,0,0
952,0.84,0.15247494,HBACK,3,F,A,4,0,0,0
955,2.46,0.424284664,STNWG,3,M,A,2,0,0,0
967,0.81,0.962143742,SEDAN,3,M,A,6,0,0,0
969,0.78,0.961291315,SEDAN,4,M,A,3,0,0,0
974,2.97,0.426119425,STNWG,1,F,A,5,0,0,0
976,0.26,0.778615944,HBACK,4,F,A,5,0,0,0
977,1.9,0.389680576,STNWG,4,F,A,2,0,0,0
978,1.18,0.002950113,SEDAN,3,M,A,5,0,0,0
979,1.95,0.67850741,HBACK,2,F,A,6,0,0,0
984,1.18,0.617506743,HBACK,3,F,A,1,0,0,0
985,2.68,0.115221466,UTE,1,M,A,4,0,0,0
988,6.56,0.206287301,STNWG,1,F,A,4,0,0,0
991,1.25,0.292442169,SEDAN,4,F,A,3,0,0,0
993,2.2,0.288340811,SEDAN,2,F,A,4,0,0,0
994,1.15,0.012597024,HBACK,2,M,A,4,0,0,0
995,6.62,0.116372121,SEDAN,1,F,A,4,0,0,0
999,1.79,0.397731741,MCARA,4,M,A,5,0,0,0
1002,0.94,0.296405679,HBACK,3,F,A,4,0,0,0
1003,2.01,0.716317578,SEDAN,2,F,A,2,0,0,0
1008,2.02,0.31765965,SEDAN,2,F,A,2,0,0,0
1009,1.32,0.396471202,HBACK,2,M,A,4,0,0,0
1010,1.4,0.999319761,STNWG,4,M,A,4,0,0,0
1013,2.66,0.222949843,HBACK,1,M,A,3,0,0,0
1017,0.83,0.277428602,HBACK,3,M,A,2,0,0,0
1019,1.55,0.727151825,HBACK,2,F,A,6,0,0,0
1020,1.14,0.703970546,HBACK,3,M,A,2,0,0,0
1027,2.38,0.197596589,STNWG,3,F,A,3,0,0,0
1031,1.26,0.974788402,STNWG,3,F,A,4,0,0,0
1034,1.99,0.013334756,SEDAN,1,M,A,2,0,0,0
1038,1.03,0.042134174,STNWG,3,F,A,3,0,0,0
1044,4.77,0.28324023,UTE,1,M,A,1,0,0,0
1051,2.01,0.195578274,HDTOP,2,M,A,5,0,0,0
1053,1.19,0.665535586,STNWG,4,M,A,4,0,0,0
1054,1.22,0.090385076,HBACK,3,F,A,3,0,0,0
1056,0.4,0.320686315,SEDAN,4,F,A,2,0,0,0
1063,1.51,0.804227198,UTE,4,M,A,3,0,0,0
1064,1.74,0.62188577,TRUCK,1,M,A,4,0,0,0
1065,1.69,0.599702708,HBACK,1,F,A,3,0,0,0
1068,1.1,0.913392678,HBACK,2,M,A,1,0,0,0
1079,3.8,0.151137262,STNWG,2,M,A,2,0,0,0
1080,0.81,0.702718032,SEDAN,3,M,A,5,0,0,0
1081,0.53,0.955693464,HBACK,4,F,A,6,0,0,0
1083,1.92,0.956755462,SEDAN,2,F,A,4,0,0,0
1085,1.25,0.99932507,HBACK,3,F,A,3,0,0,0
1087,1.74,0.352696333,SEDAN,3,F,A,5,0,0,0
1089,1.41,0.673449865,SEDAN,3,M,A,4,0,0,0
1091,1.16,0.676006493,SEDAN,3,F,A,2,0,0,0
1092,2.76,0.09327918,SEDAN,1,F,A,2,0,0,0
1093,0.84,0.510214711,HBACK,3,F,A,2,0,0,0
1094,1.69,0.580709488,MIBUS,4,F,A,4,0,0,0
1095,2.48,0.32106368,SEDAN,2,F,A,3,0,0,0
1097,1.93,0.9532344,STNWG,4,M,A,4,0,0,0
1098,1.59,0.418036923,HBACK,2,F,A,5,0,0,0
1104,1.62,0.999332094,SEDAN,2,M,A,1,0,0,0
1106,1.32,0.716121799,HBACK,2,M,A,3,0,0,0
1110,0.59,0.24934585,HBACK,4,F,A,6,0,0,0
1113,0.95,0.354074994,HBACK,3,M,A,1,0,0,0
1114,0.91,0.656812059,UTE,4,M,A,3,0,0,0
1115,1.57,0.412584781,SEDAN,2,F,A,6,0,0,0
1116,1.14,0.020072503,HBACK,4,M,A,3,0,0,0
1118,0.95,0.430874227,HBACK,3,M,A,3,0,0,0
1119,1.45,0.649988599,HBACK,1,F,A,5,0,0,0
1138,1.34,0.248808866,HBACK,3,F,A,5,0,0,0
1143,1.21,0.373817162,STNWG,4,M,A,2,0,0,0
1145,2.73,0.914666841,STNWG,3,M,A,5,0,0,0
1149,1.71,0.434650616,SEDAN,3,F,A,3,0,0,0
1150,1.89,0.966598692,SEDAN,3,M,A,2,0,0,0
1155,0.45,0.664975148,STNWG,4,M,A,6,0,0,0
1156,1.34,0.317219723,HBACK,2,F,A,2,0,0,0
1158,2.22,0.017640741,SEDAN,1,F,A,4,0,0,0
1159,1.58,0.658547162,SEDAN,2,F,A,4,0,0,0
1160,1.74,0.399808631,PANVN,2,F,A,5,0,0,0
1161,0.92,0.66394054,SEDAN,3,F,A,1,0,0,0
1166,2.11,0.356906706,STNWG,3,M,A,2,0,0,0
1172,1.79,0.315240885,PANVN,3,M,A,3,0,0,0
1175,0.75,0.691313719,HBACK,3,F,A,2,0,0,0
1176,0.76,0.694587248,SEDAN,4,M,A,4,0,0,0
1180,1.52,0.008713786,STNWG,4,M,A,2,0,0,0
1182,1.84,0.305649321,SEDAN,3,M,A,4,0,0,0
1187,1.39,0.359571874,HBACK,2,F,A,4,0,0,0
1192,1.91,0.111593222,SEDAN,1,M,A,6,0,0,0
1200,2.94,0.419040998,HDTOP,2,M,A,4,0,0,0
1202,0.8,0.337295191,HBACK,4,M,A,6,0,0,0
1205,1.75,0.303085035,TRUCK,4,M,A,4,0,0,0
1215,0.77,0.122048695,STNWG,4,M,A,1,0,0,0
1216,1.51,0.082546433,UTE,3,M,A,6,0,0,0
1217,1.19,0.892793103,COUPE,3,M,A,4,0,0,0
1225,1.23,0.948868112,SEDAN,2,M,A,2,0,0,0
1228,1.42,0.322436588,HBACK,1,F,A,2,0,0,0
1231,2.89,0.261080713,TRUCK,2,M,A,4,0,0,0
1236,2.2,0.804521523,STNWG,3,F,A,4,0,0,0
1239,2.31,0.074952016,SEDAN,2,F,A,4,0,0,0
1241,1.19,0.163917421,HBACK,3,F,A,3,0,0,0
1243,2.02,0.578008098,HBACK,1,M,A,2,0,0,0
1245,3.3,0.887985331,STNWG,2,F,A,2,0,0,0
1248,1.13,0.230349312,SEDAN,3,M,A,3,0,0,0
1252,0.79,0.134147269,SEDAN,4,F,A,2,0,0,0
1255,1.3,0.189529658,SEDAN,3,M,A,5,0,0,0
1259,1.4,0.822925286,SEDAN,3,F,A,4,0,0,0
1266,2.04,0.348244626,SEDAN,1,F,A,4,0,0,0
1269,5.31,0.094383158,STNWG,1,M,A,2,0,0,0
1270,0.75,0.255867738,HBACK,3,F,A,3,0,0,0
1273,1.34,0.135249385,HBACK,3,F,A,2,0,0,0
1276,0.31,0.983086504,SEDAN,4,F,A,4,0,0,0
1282,2.08,0.34668742,PANVN,2,M,A,3,0,0,0
1284,0.38,0.228982837,HBACK,4,M,A,5,0,0,0
1285,4.59,0.35134977,STNWG,2,M,A,1,0,0,0
1289,1.62,0.571772908,SEDAN,2,F,A,2,0,0,0
1292,3.16,0.444353601,STNWG,3,F,A,2,0,0,0
1294,1.6,0.111719893,HBACK,1,F,A,4,0,0,0
1295,2.45,0.656996105,HBACK,1,M,A,6,0,0,0
1301,0.38,0.8312565,SEDAN,4,F,A,6,0,0,0
